date,commits,top_artist,genero_musical,artist_minutesPlayed
2025-03-11,0,J Balvin,Reggaeton,0.5
2025-03-13,0,The Academy: Segunda Misión,Trap,0.5
2025-03-14,0,Bad Bunny,Trap,2.21
2025-03-15,0,Bad Bunny,Trap,50.71
2025-03-16,0,La T y La M,Cumbia,5.81
2025-03-17,8,Bad Bunny,Trap,50.11
2025-03-18,4,Bad Bunny,Trap,91.32
2025-03-19,6,Bad Bunny,Trap,60.97
2025-03-20,2,KAROL G,Reggaeton,25.42
2025-03-21,10,Bad Bunny,Trap,16.19
2025-03-22,0,Justin Timberlake,Pop,60.58
2025-03-23,0,Bad Bunny,Trap,34
2025-03-24,9,Bad Bunny,Trap,73.25
2025-03-25,9,Bad Bunny,Trap,111.92
2025-03-26,7,Bad Bunny,Trap,39.03
2025-03-27,7,Bad Bunny,Trap,124.41
2025-03-28,21,KAROL G,Reggaeton,39.99
2025-03-29,0,Bad Bunny,Trap,34.53
2025-03-30,0,Q' Lokura,Cumbia,16.63
2025-03-31,9,Bad Bunny,Trap,25.6
2025-04-01,7,Bad Bunny,Trap,63.04
2025-04-02,4,Shakira,Pop,54.32
2025-04-03,7,La T y La M,Cumbia,162.64
2025-04-04,15,Bad Bunny,Trap,25.68
2025-04-05,0,Cloonee,Electronic,9.44
2025-04-06,0,Luck Ra,Cumbia,17.06
2025-04-07,8,La T y La M,Cumbia,33.01
2025-04-08,7,La T y La M,Cumbia,40.82
2025-04-09,6,Bad Bunny,Trap,171.61
2025-04-10,7,Bad Bunny,Trap,151.31
2025-04-11,8,Korolova,Electronic,37.68
2025-04-12,1,Bad Bunny,Trap,21.64
2025-04-13,0,Maluma,Reggaeton,30.27
2025-04-14,8,Shakira,Pop,220.48
2025-04-15,8,The La Planta,Cumbia,88.13
2025-04-16,4,The La Planta,Cumbia,100.19
2025-04-17,11,Bad Bunny,Trap,184.78
2025-04-18,3,Bad Bunny,Trap,88.44
2025-04-19,0,Catz 'n Dogz,Electronic,19.66
2025-04-20,0,Anyma,Electronic,50.38
2025-04-21,10,KAROL G,Reggaeton,15.96
2025-04-22,3,Luck Ra,Cumbia,169.83
2025-04-23,7,Luck Ra,Cumbia,35.6
2025-04-24,4,Bad Bunny,Trap,102.02
2025-04-25,6,ARTBAT,Electronic,88.04
2025-04-26,0,Claptone,Electronic,32.12
2025-04-27,6,Luck Ra,Cumbia,99.91
2025-04-28,8,Maty Deejay,Electronic,76.49
2025-04-29,11,Maty Deejay,Electronic,45.96
2025-04-30,8,Fran Laborde,Rock,43.25
2025-05-01,3,Bad Bunny,Trap,50.43
2025-05-02,10,Bad Bunny,Trap,81.05
2025-05-03,0,Tomi Reig,Electronic,12.54
2025-05-04,0,Bad Bunny,Trap,28.28
2025-05-05,4,KAROL G,Reggaeton,16.54
2025-05-06,5,Bad Bunny,Trap,25.7
2025-05-07,8,Maty Deejay,Electronic,34.05
2025-05-08,9,Fran Laborde,Rock,44.08
2025-05-09,4,Wade,Electronic,114.88
2025-05-10,0,Fran Laborde,Rock,6.81
2025-05-11,0,Tomi Reig,Electronic,15.71
2025-05-12,6,Las Pastillas del Abuelo,Rock,248.27
2025-05-13,0,Babasonicos,Rock,8.6
2025-05-14,7,Beéle,Latin Pop,22.48
2025-05-15,6,Feid,Reggaeton,47.1
2025-05-16,1,Bad Bunny,Trap,71.78
2025-05-17,0,Bad Bunny,Trap,29.52
2025-05-18,4,Bad Bunny,Trap,88.58
2025-05-19,8,Bad Bunny,Trap,76.23
2025-05-20,14,Los Piojos,Rock,228.89
2025-05-21,15,Los Piojos,Rock,119.83
2025-05-22,7,Manuel Turizo,Reggaeton,139.44
2025-05-23,15,Bad Bunny,Trap,30.29
2025-05-24,0,Bad Bunny,Trap,97.65
2025-05-25,0,Bad Bunny,Trap,35.66
2025-05-26,10,Maty Deejay,Electronic,43.63
2025-05-27,13,Bad Bunny,Trap,90.74
2025-05-28,10,El Kuelgue,Rock,120.69
2025-05-29,16,J Balvin,Reggaeton,83.62
2025-05-30,8,Los Piojos,Rock,313.99
2025-05-31,0,Los Piojos,Rock,143.21
2025-06-01,0,Bad Bunny,Trap,52.08
2025-06-02,3,Los Piojos,Rock,44.29
2025-06-03,9,Mau P,Electronic,31.75
2025-06-04,5,J Balvin,Reggaeton,50.46
2025-06-05,7,Callejeros,Rock,98.73
2025-06-06,12,Los Piojos,Rock,329.81
2025-06-07,0,Los Piojos,Rock,154.25
2025-06-08,0,Bad Bunny,Trap,45.23
2025-06-09,5,Bad Bunny,Trap,103.49
2025-06-10,13,Bad Bunny,Trap,34.2
2025-06-11,6,Bad Bunny,Trap,71.23
2025-06-12,16,Bad Bunny,Trap,76.31
2025-06-13,7,Bad Bunny,Trap,32.44
2025-06-14,0,Aventura,Bachata,26.48
2025-06-15,0,Bad Bunny,Trap,37.88
2025-06-16,6,Bad Bunny,Trap,83.94
2025-06-17,11,Rauw Alejandro,Reggaeton,18.41
2025-06-18,13,Maty Deejay,Electronic,29.45
2025-06-19,7,Bad Bunny,Trap,25.16
2025-06-20,8,Bad Bunny,Trap,16.57
2025-06-21,0,Alok,Electronic,32.2
2025-06-22,0,Becky G,Reggaeton,6.63
2025-06-23,14,Bad Bunny,Trap,19.65
2025-06-24,11,Bad Bunny,Trap,44.82
2025-06-25,21,Las Pastillas del Abuelo,Rock,45.11
2025-06-26,20,PAWSA,Electronic,51.63
2025-06-27,7,Maluma,Reggaeton,18.58
2025-06-28,0,Bad Bunny,Trap,44.84
2025-06-29,0,Bad Bunny,Trap,10.05
2025-06-30,19,Bad Bunny,Trap,29.88
2025-07-01,4,Justin Quiles,Reggaeton,81.49
2025-07-02,18,Bad Bunny,Trap,53.26
2025-07-03,3,Bad Bunny,Trap,42.06
2025-07-04,10,Bad Bunny,Trap,48.6
2025-07-05,0,Bad Bunny,Trap,22.42
2025-07-06,0,J Abdiel,Reggaeton,13.99
2025-07-07,15,Bad Bunny,Trap,39.76
2025-07-08,10,J Balvin,Reggaeton,46.23
2025-07-09,3,Ke Personajes,Cumbia,34.72
2025-07-10,8,Big One,Trap,55.94
2025-07-11,6,Max Carra,Electronic,26.67
2025-07-12,0,Bad Bunny,Trap,105.03
2025-07-13,0,Myke Towers,Reggaeton,14.03
2025-07-14,3,Bad Bunny,Trap,126.52
2025-07-15,10,Ke Personajes,Cumbia,38.14
2025-07-16,9,Bad Bunny,Trap,44.13
2025-07-17,6,Bad Bunny,Trap,40.45
2025-07-18,1,Shakira,Pop,75.93
2025-07-19,0,Bad Bunny,Trap,29.39
2025-07-20,0,Bad Bunny,Trap,40.4
2025-07-21,0,Bad Bunny,Trap,17.4
2025-07-22,0,Wade,Electronic,5.47
2025-07-23,0,Bad Bunny,Trap,10.67
2025-07-24,0,Shakira,Pop,20.63
2025-07-25,0,Peter Base,Electronic,32.48
2025-07-26,0,Bad Bunny,Trap,14.85
2025-07-27,0,Bad Bunny,Trap,49.17
2025-07-29,7,KAROL G,Reggaeton,10.92
2025-07-30,6,Marshmello,Electronic,0.85
2025-07-31,3,Bad Bunny,Trap,87.63
2025-08-01,4,Bad Bunny,Trap,156.85
2025-08-02,0,Ke Personajes,Cumbia,33.84
2025-08-03,0,Bad Bunny,Trap,101.81
2025-08-04,5,Bad Bunny,Trap,207.76
2025-08-05,8,Bad Bunny,Trap,100.18
2025-08-06,6,Las Pastillas del Abuelo,Rock,129.16
2025-08-07,1,Bad Bunny,Trap,89.75
2025-08-08,1,Bad Bunny,Trap,75.9
2025-08-09,0,Bad Bunny,Trap,18.86
2025-08-10,0,Bad Bunny,Trap,62.54
2025-08-11,7,Bad Bunny,Trap,55.41
2025-08-12,9,Duki,Trap,51.62
2025-08-13,18,Bad Bunny,Trap,30.38
2025-08-14,3,La T y La M,Cumbia,78.38
2025-08-15,11,Beéle,Latin Pop,16.67
2025-08-16,0,Shakira,Pop,28.72
2025-08-17,0,La T y La M,Cumbia,86.59
2025-08-18,4,Justin Bieber,Pop,26.77
2025-08-19,8,Babasonicos,Rock,40.2
2025-08-20,8,Duki,Trap,29.34
2025-08-21,2,Myke Towers,Reggaeton,9.76
2025-08-22,2,Las Pastillas del Abuelo,Rock,171.57
2025-08-23,0,Justin Bieber,Pop,22.47
2025-08-24,0,Bad Bunny,Trap,41.12
2025-08-25,5,KAROL G,Reggaeton,24.93
2025-08-26,6,KAROL G,Reggaeton,24.75
2025-08-27,5,KAROL G,Reggaeton,54.96
2025-08-28,4,La T y La M,Cumbia,92.83
2025-08-29,11,La T y La M,Cumbia,74.86
2025-08-30,0,Q' Lokura,Cumbia,29.03
2025-08-31,0,Bad Bunny,Trap,52.31
2025-09-01,7,La T y La M,Cumbia,117.7
2025-09-02,6,La T y La M,Cumbia,120.55
2025-09-03,7,PAWSA,Electronic,33.13
2025-09-04,8,PAWSA,Electronic,313.26
2025-09-05,12,John Summit,Electronic,30.87
2025-09-06,0,La T y La M,Cumbia,17.26
2025-09-07,0,KAROL G,Reggaeton,35.45
2025-09-08,2,Bad Bunny,Trap,27.84
2025-09-09,1,La T y La M,Cumbia,116.15
2025-09-10,2,La T y La M,Cumbia,181.98
2025-09-11,6,La T y La M,Cumbia,26.02
2025-09-12,0,Maria Becerra,Pop,31.83
2025-09-13,0,KAROL G,Reggaeton,52.84
2025-09-14,0,PAWSA,Electronic,11.12
2025-09-15,7,Bad Bunny,Trap,33.55
2025-09-16,4,Myke Towers,Reggaeton,29.3
2025-09-17,5,FISHER,Electronic,43.52
2025-09-18,3,La T y La M,Cumbia,208.97
2025-09-19,6,Eli Brown,Electronic,67.89
2025-09-20,0,Argy,Electronic,14.87
2025-09-21,0,Bad Bunny,Trap,27.83
2025-09-22,8,Blessd,Reggaeton,12.06
2025-09-23,5,Anyma,Electronic,58.5
2025-09-24,9,Anyma,Electronic,20.33
2025-09-25,1,La T y La M,Cumbia,128.55
2025-09-26,7,Bad Bunny,Trap,217.71
2025-09-27,24,La T y La M,Cumbia,107.37
2025-09-28,0,Justin Bieber,Pop,13.6
2025-09-29,2,Bad Bunny,Trap,252.5
2025-09-30,3,Bad Bunny,Trap,96.28
2025-10-01,10,Ke Personajes,Cumbia,53.36
2025-10-02,12,Eladio Carrion,Trap,24.3
2025-10-03,4,Eladio Carrion,Trap,64.5
2025-10-04,0,Bad Bunny,Trap,11.44
2025-10-05,0,Omar Courtz,Reggaeton,6.12
2025-10-06,8,Eladio Carrion,Trap,36.19
2025-10-07,4,Eladio Carrion,Trap,39.16
2025-10-08,7,Bad Bunny,Trap,41.5
2025-10-09,2,Big One,Trap,29.48
2025-10-10,5,Myke Towers,Reggaeton,13.9
2025-10-11,0,Myke Towers,Reggaeton,19.08
2025-10-12,0,Bad Bunny,Trap,29.11
2025-10-13,10,La T y La M,Cumbia,93.7
2025-10-14,6,La T y La M,Cumbia,151.88
2025-10-15,9,La T y La M,Cumbia,239.72
2025-10-16,8,La T y La M,Cumbia,290.25
2025-10-17,2,La T y La M,Cumbia,169.32
2025-10-18,0,The La Planta,Cumbia,13.92
2025-10-19,0,Beéle,Latin Pop,28.38
2025-10-20,1,La T y La M,Cumbia,136.26
2025-10-21,3,Maluma,Reggaeton,199.58
2025-10-22,2,Maluma,Reggaeton,183.55
2025-10-23,6,Maluma,Reggaeton,120.7
2025-10-24,5,Maluma,Reggaeton,38.2
2025-10-25,0,Maluma,Reggaeton,113.45
2025-10-26,0,Maluma,Reggaeton,50.26
2025-10-27,3,Maluma,Reggaeton,102.61
2025-10-28,0,Ke Personajes,Cumbia,28.97
2025-10-29,7,Ke Personajes,Cumbia,58.01
2025-10-30,15,La T y La M,Cumbia,51.1
2025-10-31,3,Bizarrap,Trap,131.83
2025-11-01,0,La T y La M,Cumbia,66.33
2025-11-02,0,Los Auténticos Decadentes,Rock,17.38
2025-11-03,3,Maluma,Reggaeton,31.05
2025-11-04,5,Airbag,Rock,18.31
2025-11-05,14,Rauw Alejandro,Reggaeton,42.99
2025-11-06,10,Rauw Alejandro,Reggaeton,37.17
2025-11-07,4,The La Planta,Cumbia,58.64
2025-11-08,0,Maluma,Reggaeton,90.28
2025-11-09,0,The La Planta,Cumbia,21.95
2025-11-10,3,The La Planta,Cumbia,111.85
2025-11-11,2,The La Planta,Cumbia,69.36
2025-11-12,6,The La Planta,Cumbia,96.4
2025-11-13,7,The La Planta,Cumbia,73.68
2025-11-14,2,The La Planta,Cumbia,86.8
2025-11-15,0,La T y La M,Cumbia,39.49
2025-11-16,0,Flor Alvarez,Cumbia,30.72
2025-11-17,9,The La Planta,Cumbia,92.81
2025-11-18,3,The La Planta,Cumbia,50.46
2025-11-19,8,The La Planta,Cumbia,93.15
2025-11-20,8,Maluma,Reggaeton,79.59
2025-11-21,12,Maluma,Reggaeton,79.15
2025-11-22,0,La T y La M,Cumbia,263.89
2025-11-23,0,The La Planta,Cumbia,190.8
2025-11-24,6,Bad Bunny,Trap,62.38
2025-11-25,5,Bad Bunny,Trap,129.84
2025-11-26,10,Bad Bunny,Trap,66.86
2025-11-27,6,La T y La M,Cumbia,52.48
2025-11-28,1,Hernan y La Champion's Liga,Cumbia,27.19
2025-11-29,0,PAWSA,Electronic,7.43
2025-11-30,0,PAWSA,Electronic,18.55
2025-12-01,5,Bad Bunny,Trap,27.7
2025-12-02,11,Beéle,Latin Pop,33.36
